receiptId,grnNumber,poRef,invoiceRef,deliveryNoteRef,purchaseId,agreementId,country,storageId,warehouseKind,reachedStep,scannedAtMain,stockId,qtyOrdered,qtyReceived,qtyAccepted,qtyRejected,condition,inspectedBy,orderDate,receiptDate,vatTaxPointDate
RCP-0001,GRN-SK-2026-0001,PO-2026-4810,INV-0001,,PUR-0001-0,AGR-001,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,EDT-075,1137,1137,1137,0,Good,A. Szabó,2026-01-18,2026-01-14,2026-01-05
RCP-0002,GRN-SK-2026-0002,PO-2026-4810,INV-0001,,PUR-0001-1,AGR-001,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,LIP-004,1137,1137,1137,0,Good,K. Dvořák,2026-01-18,2026-01-17,
RCP-0003,GRN-SK-2026-0003,PO-2026-4810,INV-0001,,PUR-0001-2,AGR-001,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,EDP-050,1137,1137,1137,0,Good,M. Kowalski,2026-01-18,2026-01-20,
RCP-0004,GRN-SK-2026-0004,PO-2026-4810,INV-0001,,PUR-0001-3,AGR-001,SK,WH-SK-01,MAIN,UNLOADED_SCANNED,true,MSC-200,1135,1135,1115,20,Partial,P. Novák,2026-01-18,2026-01-23,
RCP-0005,GRN-PL-2026-0005,PO-2026-4584,INV-0002,,PUR-0002-0,AGR-001,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,EDT-075,1224,1224,1224,0,Good,J. Horák,2026-01-18,2026-01-14,
RCP-0006,GRN-PL-2026-0006,PO-2026-4584,INV-0002,,PUR-0002-1,AGR-001,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,LIP-004,1224,1224,1224,0,Good,A. Szabó,2026-01-18,2026-01-17,
RCP-0007,GRN-PL-2026-0007,PO-2026-4584,INV-0002,,PUR-0002-2,AGR-001,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,EDP-050,1224,1224,1224,0,Good,P. Novák,2026-01-18,2026-01-20,
RCP-0008,GRN-PL-2026-0008,PO-2026-4584,INV-0002,,PUR-0002-3,AGR-001,PL,WH-PL-01,MAIN,UNLOADED_SCANNED,true,MSC-200,1223,1223,1206,17,Partial,K. Dvořák,2026-01-18,2026-01-23,
RCP-0009,GRN-CZ-2026-0009,PO-2026-1017,INV-0003,,PUR-0003-0,AGR-001,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,EDT-075,1166,1166,1166,0,Good,P. Novák,2026-01-10,2026-01-14,2026-01-05
RCP-0010,GRN-CZ-2026-0010,PO-2026-1017,INV-0003,,PUR-0003-1,AGR-001,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,LIP-004,1166,1166,1166,0,Good,M. Kowalski,2026-01-10,2026-01-17,
RCP-0011,GRN-CZ-2026-0011,PO-2026-1017,INV-0003,,PUR-0003-2,AGR-001,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,EDP-050,1166,1166,1138,28,Partial,K. Dvořák,2026-01-10,2026-01-20,
RCP-0012,GRN-CZ-2026-0012,PO-2026-1017,INV-0003,,PUR-0003-3,AGR-001,CZ,WH-CZ-01,MAIN,UNLOADED_SCANNED,true,MSC-200,1164,1164,1162,2,Partial,J. Horák,2026-01-10,2026-01-23,
