invoice_number,stock_id,storage_id,qty_received,qty_disputed,receipt_datetime,recadv_ref
INV-2026-13,SKU-1003,WH-CENTRAL,514,0,2026-04-09T09:00:00,RECADV-INV-2026-13-0
INV-2026-13,SKU-1003,WH-PO,427,0,2026-04-07T09:00:00,RECADV-INV-2026-13-1
INV-2026-13,SKU-1003,WH-KE,534,0,2026-04-12T09:00:00,RECADV-INV-2026-13-2
INV-2026-13,SKU-1003,WH-BA,525,0,2026-04-08T09:00:00,RECADV-INV-2026-13-3
INV-2026-13,SKU-1004,WH-CENTRAL,787,0,2026-04-11T09:00:00,RECADV-INV-2026-13-0
INV-2026-13,SKU-1004,WH-PO,625,0,2026-04-11T09:00:00,RECADV-INV-2026-13-1
INV-2026-13,SKU-1004,WH-KE,609,0,2026-04-12T09:00:00,RECADV-INV-2026-13-2
INV-2026-13,SKU-1004,WH-BA,979,0,2026-04-07T09:00:00,RECADV-INV-2026-13-3
INV-2026-13,SKU-1001,WH-CENTRAL,313,0,2026-04-06T09:00:00,RECADV-INV-2026-13-0
INV-2026-13,SKU-1001,WH-PO,291,0,2026-04-06T09:00:00,RECADV-INV-2026-13-1
INV-2026-13,SKU-1001,WH-KE,346,0,2026-04-09T09:00:00,RECADV-INV-2026-13-2
INV-2026-13,SKU-1001,WH-BA,150,0,2026-04-08T09:00:00,RECADV-INV-2026-13-3
