purchaseId,agreementId,supplierId,country,stockId,orderDate,qty,unitValue,weightPerUnit,currency
PUR-0024-0,AGR-012,SUP-NORD,SK,CRM-050,2026-09-14,7572,39,0.19,EUR
PUR-0024-1,AGR-012,SUP-NORD,SK,GFT-SET,2026-09-14,7572,39,0.9,EUR
PUR-0024-2,AGR-012,SUP-NORD,SK,EDP-100,2026-09-14,7572,39,0.46,EUR
PUR-0024-3,AGR-012,SUP-NORD,SK,EDP-050,2026-09-14,7573,39,0.28,EUR
PUR-0025-0,AGR-012,SUP-NORD,PL,CRM-050,2026-09-07,7502,15.02,0.19,EUR
PUR-0025-1,AGR-012,SUP-NORD,PL,GFT-SET,2026-09-07,7502,15.02,0.9,EUR
PUR-0025-2,AGR-012,SUP-NORD,PL,EDP-100,2026-09-07,7502,15.02,0.46,EUR
PUR-0025-3,AGR-012,SUP-NORD,PL,EDP-050,2026-09-07,7501,15.02,0.28,EUR
PUR-0026-0,AGR-012,SUP-NORD,CZ,CRM-050,2026-09-11,7451,42.08,0.19,EUR
PUR-0026-1,AGR-012,SUP-NORD,CZ,GFT-SET,2026-09-11,7451,42.08,0.9,EUR
PUR-0026-2,AGR-012,SUP-NORD,CZ,EDP-100,2026-09-11,7451,42.08,0.46,EUR
PUR-0026-3,AGR-012,SUP-NORD,CZ,EDP-050,2026-09-11,7449,42.08,0.28,EUR
