purchaseId,agreementId,supplierId,country,stockId,orderDate,qty,unitValue,weightPerUnit,currency
PUR-0010-0,AGR-006,SUP-VELVET,SK,MSC-200,2026-05-05,12846,15.32,0.55,EUR
PUR-0010-1,AGR-006,SUP-VELVET,SK,EDP-100,2026-05-05,12846,15.32,0.46,EUR
PUR-0010-2,AGR-006,SUP-VELVET,SK,LIP-004,2026-05-05,12846,15.32,0.03,EUR
PUR-0010-3,AGR-006,SUP-VELVET,SK,GFT-SET,2026-05-05,12845,15.32,0.9,EUR
PUR-0011-0,AGR-006,SUP-VELVET,PL,MSC-200,2026-05-15,12846,34.37,0.55,EUR
PUR-0011-1,AGR-006,SUP-VELVET,PL,EDP-100,2026-05-15,12846,34.37,0.46,EUR
PUR-0011-2,AGR-006,SUP-VELVET,PL,LIP-004,2026-05-15,12846,34.37,0.03,EUR
PUR-0011-3,AGR-006,SUP-VELVET,PL,GFT-SET,2026-05-15,12846,34.37,0.9,EUR
PUR-0012-0,AGR-006,SUP-VELVET,CZ,MSC-200,2026-05-10,12748,25.45,0.55,EUR
PUR-0012-1,AGR-006,SUP-VELVET,CZ,EDP-100,2026-05-10,12748,25.45,0.46,EUR
PUR-0012-2,AGR-006,SUP-VELVET,CZ,LIP-004,2026-05-10,12748,25.45,0.03,EUR
PUR-0012-3,AGR-006,SUP-VELVET,CZ,GFT-SET,2026-05-10,12747,25.45,0.9,EUR
